TagName,Count
"javascript","2537752"
"python","2222659"
"java","1924122"
"c#","1627667"
"php","1470024"
"android","1422322"
"html","1191594"
"jquery","1033436"
"c++","816338"
"css","809428"
"ios","689778"
"sql","676028"
"mysql","662065"
"r","511889"
"reactjs","482477"
"node.js","475056"
"arrays","418579"
"c","408811"
"asp.net","374728"
"json","361907"
"python-3.x","343917"
".net","341975"
"ruby-on-rails","338476"
"sql-server","337341"
"swift","337135"
"django","313359"
"angular","308207"
"objective-c","292153"
"excel","291129"
"pandas","289710"
"angularjs","262287"
"regex","261322"
"typescript","236479"
"ruby","229444"
"linux","229054"
"ajax","221460"
"iphone","220482"
"vba","217260"
"xml","215465"
"laravel","214002"
"spring","213162"
"asp.net-mvc","201286"
"database","195771"
"wordpress","192431"
"string","185246"
"flutter","182457"
"postgresql","179801"
"mongodb","176451"
"wpf","170383"
"windows","169444"
"amazon-web-services","160809"
"xcode","160249"
"bash","156999"
"git","154140"
"oracle-database","153055"
"spring-boot","152299"
"dataframe","148034"
"azure","145497"
"firebase","144928"
"list","142273"
"multithreading","141225"
"docker","141159"
"vb.net","140582"
"react-native","139778"
"eclipse","125026"
"algorithm","121875"
"powershell","119480"
"macos","119031"
"visual-studio","116447"
"numpy","115349"
"image","114312"
"forms","113852"
"scala","112877"
"function","111931"
"vue.js","108739"
"performance","103175"
"twitter-bootstrap","102973"
"selenium","100243"
"winforms","99534"
"kotlin","98795"
"loops","96940"
"express","95944"
"dart","95663"
"hibernate","95508"
"sqlite","95417"
"matlab","95057"
"python-2.7","94990"
"shell","93219"
"rest","92405"
"apache","92334"
"entity-framework","91990"
"android-studio","91139"
"csv","90702"
"maven","89516"
"api","89302"
"linq","86734"
"qt","86682"
"dictionary","86459"
"unit-testing","86081"
"facebook","85492"
"asp.net-core","85411"
"tensorflow","83023"
"apache-spark","82978"
"file","81741"
"swing","81454"
"class","80119"
"unity-game-engine","77878"
"sorting","77538"
"date","77207"
"authentication","76633"
"go","74775"
"symfony","74473"
"t-sql","73652"
"opencv","73649"
"matplotlib","73168"
".htaccess","73056"
"google-chrome","72910"
"for-loop","72262"
"datetime","71523"
"codeigniter","69445"
"http","68436"
"perl","68354"
"validation","67879"
"sockets","66722"
"google-maps","66248"
"object","65229"
"uitableview","64387"
"xaml","63032"
"oop","62509"
"if-statement","62456"
"visual-studio-code","62234"
"cordova","61494"
"ubuntu","61384"
"web-services","59776"
"email","59618"
"android-layout","59100"
"github","59076"
"elasticsearch","58716"
"spring-mvc","58713"
"kubernetes","58576"
"selenium-webdriver","58491"
"ms-access","58084"
"user-interface","57798"
"parsing","57746"
"ggplot2","57696"
"pointers","57105"
"machine-learning","56956"
"google-sheets","56888"
"c++11","56822"
"security","56810"
"flask","56047"
"google-apps-script","56002"
"ruby-on-rails-3","55907"
"templates","55729"
"nginx","55721"
"variables","54077"
"exception","53958"
"sql-server-2008","53707"
"gradle","53396"
"debugging","53111"
"tkinter","52959"
"listview","52670"
"delphi","52509"
"jpa","52391"
"asynchronous","52167"
"pdf","51882"
"web-scraping","51866"
"haskell","51700"
"jsp","51642"
"ssl","51564"
"amazon-s3","51374"
"google-cloud-platform","51185"
"jenkins","50952"
"testing","50912"
"xamarin","50838"
"wcf","50748"
"npm","50540"
"batch-file","50478"
"generics","50335"
"ionic-framework","48721"
"network-programming","48065"
"unix","47706"
"recursion","47557"
"google-app-engine","47050"
"mongoose","46924"
"visual-studio-2010","46491"
".net-core","46018"
"android-fragments","45636"
"assembly","45312"
"animation","45022"
"math","44722"
"next.js","44650"
"session","44451"
"svg","44435"
"hadoop","44384"
"intellij-idea","44283"
"curl","44028"
"django-models","43892"
"join","43830"
"laravel-5","43723"
"rust","43722"
"winapi","43706"
"url","43547"
"heroku","43529"
"http-redirect","43331"
"tomcat","43173"
"google-cloud-firestore","43134"
"inheritance","42925"
"webpack","42847"
"keras","42541"
"image-processing","42505"
"gcc","42294"
"asp.net-mvc-4","42264"
"web","41979"
"logging","41975"
"dom","41861"
"swiftui","41676"
"matrix","41394"
"pyspark","41338"
"actionscript-3","41099"
"button","40893"
"post","40750"
"optimization","40246"
"firebase-realtime-database","40209"
"jquery-ui","39667"
"iis","39637"
"cocoa","39630"
"xpath","39589"
"d3.js","39311"
"javafx","39038"
"firefox","39026"
"internet-explorer","38914"
"xslt","38844"
"caching","38579"
"select","38342"
"asp.net-mvc-3","38296"
"opengl","38248"
"events","38145"
"asp.net-web-api","38126"
"plot","38002"
"dplyr","37645"
"magento","37442"
"encryption","37432"
"search","37346"
"stored-procedures","37253"
"amazon-ec2","37111"
"ruby-on-rails-4","36716"
"memory","36665"
"canvas","36217"
"audio","36213"
"multidimensional-array","36105"
"jsf","35741"
"random","35687"
"vector","35466"
"cookies","35454"
"redux","35445"
"facebook-graph-api","35304"
"input","35297"
"flash","34885"
"xamarin.forms","34708"
"indexing","34664"
"arraylist","34629"
"ipad","34574"
"cocoa-touch","34491"
"data-structures","34292"
"video","34144"
"apache-kafka","33660"
"model-view-controller","33657"
"serialization","33605"
"jdbc","33580"
"woocommerce","33506"
"routes","33393"
"razor","33368"
"azure-devops","33364"
"awk","33269"
"servlets","33174"
"mod-rewrite","33154"
"beautifulsoup","32939"
"docker-compose","32876"
"excel-formula","32837"
"iframe","32833"
"filter","32831"
"aws-lambda","32423"
"design-patterns","32257"
"text","32049"
"django-rest-framework","32021"
"visual-c++","31884"
"cakephp","31657"
"mobile","31341"
"android-intent","30971"
"react-hooks","30835"
"struct","30804"
"methods","30549"
"groovy","30437"
"mvvm","30407"
"ssh","30381"
"lambda","30244"
"checkbox","30004"
"ecmascript-6","29981"
"google-chrome-extension","29979"
"time","29961"
"grails","29857"
"installation","29852"
"sharepoint","29685"
"cmake","29525"
"shiny","29477"
"spring-security","29473"
"jakarta-ee","29331"
"android-recyclerview","29305"
"plsql","29249"
"core-data","29226"
"types","29127"
"meteor","29068"
"android-activity","29029"
"sed","29007"
"bootstrap-4","28893"
"websocket","28884"
"activerecord","28801"
"graph","28591"
"replace","28530"
"scikit-learn","28425"
"file-upload","28309"
"group-by","28282"
"vim","28235"
"junit","28179"
"boost","28067"
"deep-learning","28040"
"import","27841"
"sass","27818"
"memory-management","27774"
"error-handling","27738"
"async-await","27681"
"dynamic","27402"
"eloquent","27401"
"soap","27268"
"silverlight","27141"
"dependency-injection","27127"
"charts","27054"
"layout","27006"
"apache-spark-sql","26999"
"deployment","26925"
"browser","26844"
"gridview","26756"
"svn","26724"
"while-loop","26588"
"google-bigquery","26474"
"vuejs2","26358"
"ffmpeg","26298"
"dll","26268"
"highcharts","26239"
"view","26079"
"foreach","25821"
"plugins","25777"
"makefile","25749"
"c#-4.0","25737"
"redis","25722"
"reporting-services","25652"
"jupyter-notebook","25439"
"merge","25332"
"server","25326"
"unicode","25293"
"https","25290"
"reflection","25220"
"google-maps-api-3","25136"
"twitter","25070"
"oauth-2.0","24912"
"extjs","24868"
"pytorch","24776"
"axios","24768"
"terminal","24704"
"pip","24635"
"split","24570"
"mysqli","24500"
"cmd","24495"
"django-views","24427"
"encoding","24426"
"database-design","24171"
"automation","24166"
"collections","24152"
"netbeans","24150"
"hash","24144"
"build","23985"
"data-binding","23980"
"ember.js","23978"
"tcp","23940"
"sqlalchemy","23922"
"pdo","23911"
"apache-flex","23804"
"concurrency","23571"
"entity-framework-core","23511"
"command-line","23498"
"spring-data-jpa","23462"
"printing","23430"
"java-8","23263"
"react-redux","23261"
"jestjs","23210"
"service","23148"
"html-table","23131"
"neo4j","23079"
"lua","23072"
"ansible","23051"
"parameters","22950"
"module","22865"
"material-ui","22860"
"enums","22843"
"visual-studio-2012","22829"
"promise","22802"
"flexbox","22801"
"outlook","22754"
"webview","22625"
"firebase-authentication","22613"
"web-applications","22590"
"uwp","22551"
"jquery-mobile","22480"
"utf-8","22437"
"datatable","22215"
"python-requests","22191"
"parallel-processing","22049"
"drop-down-menu","22023"
"colors","22008"
"scroll","21966"
"hive","21911"
"tfs","21888"
"scipy","21885"
"count","21737"
"syntax","21694"
"ms-word","21632"
"twitter-bootstrap-3","21431"
"ssis","21391"
"google-analytics","21334"
"fonts","21280"
"three.js","21274"
"constructor","21203"
"powerbi","21196"
"rxjs","21191"
"graphql","21189"
"file-io","21158"
"paypal","21143"
"discord","21009"
"cassandra","20977"
"socket.io","20878"
"graphics","20838"
